"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A1N4AZ1QXPOPXH","https://master-requester.mturk.com/workers/A1N4AZ1QXPOPXH","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A1OBB3PWYWK9KK","https://master-requester.mturk.com/workers/A1OBB3PWYWK9KK","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A1UL0HQUZQPMSX","https://master-requester.mturk.com/workers/A1UL0HQUZQPMSX","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2F9V69F6TZIAB","https://master-requester.mturk.com/workers/A2F9V69F6TZIAB","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2UHF7UL7G0Y78","https://master-requester.mturk.com/workers/A2UHF7UL7G0Y78","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2ZRF4I5RTKN7G","https://master-requester.mturk.com/workers/A2ZRF4I5RTKN7G","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A3TDA1NWHNQFE3","https://master-requester.mturk.com/workers/A3TDA1NWHNQFE3","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A3VBAQB2WO36Q1","https://master-requester.mturk.com/workers/A3VBAQB2WO36Q1","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A40LU73SS18IW","https://master-requester.mturk.com/workers/A40LU73SS18IW","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A4J4GGMKJ68L0","https://master-requester.mturk.com/workers/A4J4GGMKJ68L0","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
